size of int array, time for copying into enclave (TE-seconds),TE-ms,TE-ns,time for copying to other untrusted memory region(TO-s),TO-ms,TO-ns,kb,mb
158720,0,0,506841,0,0,46503,620,0
158976,0,0,500271,0,0,44232,621,0
159232,0,0,515667,0,0,44598,622,0
159488,0,0,501595,0,0,44748,623,0
159744,0,0,509459,0,0,48063,624,0
160000,0,0,527908,0,0,45303,625,0
160256,0,0,506206,0,0,44945,626,0
160512,0,0,504393,0,0,65230,627,0
160768,0,0,516186,0,0,47402,628,0
161024,0,0,506103,0,0,44997,629,0
161280,0,0,532345,0,0,45597,630,0
161536,0,0,510981,0,0,45612,631,0
161792,0,0,526349,0,0,47763,632,0
162048,0,0,534869,0,0,45319,633,0
162304,0,0,511554,0,0,45393,634,0
162560,0,0,510342,0,0,46103,635,0
162816,0,0,540849,0,0,49111,636,0
163072,0,0,513074,0,0,45839,637,0
163328,0,0,512274,0,0,77903,638,0
163584,0,0,519835,0,0,45639,639,0
163840,0,0,525663,0,0,48015,640,0
164096,0,0,515215,0,0,46001,641,0
164352,0,0,546396,0,0,46164,642,0
164608,0,0,516944,0,0,46119,643,0
164864,0,0,525340,0,0,48430,644,0
165120,0,0,538959,0,0,46621,645,0
165376,0,0,525848,0,0,46846,646,0
165632,0,0,517513,0,0,46250,647,0
165888,0,0,547506,0,0,48614,648,0
166144,0,0,524469,0,0,46546,649,0
166400,0,0,522554,0,0,46490,650,0
166656,0,0,543337,0,0,47308,651,0
166912,0,0,531906,0,0,52529,652,0
167168,0,0,527688,0,0,73454,653,0
167424,0,0,521347,0,0,46942,654,0
167680,0,0,526851,0,0,47245,655,0
167936,0,0,561966,0,0,49390,656,0
168192,0,0,523689,0,0,47389,657,0
168448,0,0,531746,0,0,47870,658,0
168704,0,0,555755,0,0,47710,659,0
168960,0,0,540552,0,0,49571,660,0
169216,0,0,532378,0,0,47277,661,0
169472,0,0,551300,0,0,47568,662,0
169728,0,0,531728,0,0,48127,663,0
169984,0,0,538827,0,0,50279,664,0
170240,0,0,548454,0,0,48096,665,0
170496,0,0,541653,0,0,47951,666,0
170752,0,0,554620,0,0,48229,667,0
171008,0,0,546349,0,0,50064,668,0
171264,0,0,539360,0,0,48200,669,0
171520,0,0,538296,0,0,47757,670,0
171776,0,0,547396,0,0,48886,671,0
172032,0,0,544333,0,0,50864,672,0
172288,0,0,546769,0,0,49239,673,0
172544,0,0,548759,0,0,48705,674,0
172800,0,0,540387,0,0,49088,675,0
173056,0,0,552885,0,0,51573,676,0
173312,0,0,545881,0,0,48941,677,0
173568,0,0,545777,0,0,48706,678,0
173824,0,0,551968,0,0,48868,679,0
174080,0,0,554800,0,0,52211,680,0
174336,0,0,546547,0,0,49206,681,0
174592,0,0,547436,0,0,48846,682,0
174848,0,0,544719,0,0,49009,683,0
175104,0,0,555053,0,0,51384,684,0
175360,0,0,553300,0,0,49195,685,0
175616,0,0,559485,0,0,50419,686,0
175872,0,0,550545,0,0,49377,687,0
176128,0,0,560571,0,0,51717,688,0
176384,0,0,555249,0,0,49937,689,0
176640,0,0,552937,0,0,49429,690,0
176896,0,0,555316,0,0,49632,691,0
177152,0,0,566781,0,0,57184,692,0
177408,0,0,554642,0,0,49426,693,0
177664,0,0,582597,0,0,49954,694,0
177920,0,0,561501,0,0,49654,695,0
178176,0,0,568148,0,0,52344,696,0
178432,0,0,562673,0,0,49682,697,0
178688,0,0,561115,0,0,50438,698,0
178944,0,0,568941,0,0,50509,699,0
179200,0,0,569703,0,0,52077,700,0
179456,0,0,563837,0,0,50549,701,0
179712,0,0,562341,0,0,50439,702,0
179968,0,0,567484,0,0,50465,703,0
180224,0,0,573419,0,0,53867,704,0
180480,0,0,575769,0,0,50967,705,0
180736,0,0,568510,0,0,50901,706,0
180992,0,0,566734,0,0,50737,707,0
181248,0,0,576120,0,0,53522,708,0
181504,0,0,567044,0,0,50894,709,0
181760,0,0,569989,0,0,50889,710,0
182016,0,0,572085,0,0,51281,711,0
182272,0,0,590503,0,0,53749,712,0
182528,0,0,575976,0,0,51416,713,0
182784,0,0,573849,0,0,51673,714,0
183040,0,0,578752,0,0,51912,715,0
183296,0,0,582180,0,0,53600,716,0
183552,0,0,574355,0,0,51582,717,0
183808,0,0,587479,0,0,51903,718,0
184064,0,0,575220,0,0,52295,719,0
184320,0,0,583233,0,0,53118,720,0
184576,0,0,599192,0,0,51993,721,0
184832,0,0,577744,0,0,52134,722,0
185088,0,0,579690,0,0,52297,723,0
185344,0,0,778400,0,0,57561,724,0
185600,0,0,585003,0,0,53594,725,0
185856,0,0,583177,0,0,52835,726,0
186112,0,0,584821,0,0,52731,727,0
186368,0,0,591866,0,0,54705,728,0
186624,0,0,585572,0,0,52362,729,0
186880,0,0,597446,0,0,53842,730,0
187136,0,0,586523,0,0,52635,731,0
187392,0,0,594742,0,0,55726,732,0
187648,0,0,591481,0,0,52986,733,0
187904,0,0,588874,0,0,53109,734,0
188160,0,0,590820,0,0,52864,735,0
188416,0,0,609248,0,0,56426,736,0
188672,0,0,592526,0,0,54048,737,0
188928,0,0,595369,0,0,53622,738,0
189184,0,0,600145,0,0,53800,739,0
189440,0,0,606447,0,0,56170,740,0
189696,0,0,595208,0,0,53973,741,0
189952,0,0,606692,0,0,54011,742,0
